Date,Close
1/2/2014 16:00:00,24.71
1/3/2014 16:00:00,24.32
1/6/2014 16:00:00,23.76
1/7/2014 16:00:00,22.84
1/8/2014 16:00:00,22.96
1/9/2014 16:00:00,22.86
1/10/2014 16:00:00,23.12
1/13/2014 16:00:00,22.27
1/14/2014 16:00:00,22.5
1/15/2014 16:00:00,22.62
1/16/2014 16:00:00,22.52
1/17/2014 16:00:00,22.48
1/21/2014 16:00:00,22.94
1/22/2014 16:00:00,23.67
1/23/2014 16:00:00,23.49
1/24/2014 16:00:00,21.7
1/27/2014 16:00:00,21.47
1/28/2014 16:00:00,22.57
1/29/2014 16:00:00,22.76
1/30/2014 16:00:00,21.96
1/31/2014 16:00:00,22.51
2/3/2014 16:00:00,21.53
2/4/2014 16:00:00,21.34
2/5/2014 16:00:00,20.77
2/6/2014 16:00:00,21.25
2/7/2014 16:00:00,21.2
2/10/2014 16:00:00,21.37
2/11/2014 16:00:00,21.24
2/12/2014 16:00:00,20.66
2/13/2014 16:00:00,20.95
2/14/2014 16:00:00,21.26
2/18/2014 16:00:00,20.78
2/19/2014 16:00:00,20.57
2/20/2014 16:00:00,20.78
2/21/2014 16:00:00,21.49
2/24/2014 16:00:00,21.95
2/25/2014 16:00:00,22.3
2/26/2014 16:00:00,23.49
2/27/2014 16:00:00,23.5
2/28/2014 16:00:00,23.19
3/3/2014 16:00:00,23.1
3/4/2014 16:00:00,23.4
3/5/2014 16:00:00,23.21
3/6/2014 16:00:00,22.99
3/7/2014 16:00:00,22.35
3/10/2014 16:00:00,21.36
3/11/2014 16:00:00,21.25
3/12/2014 16:00:00,20.98
3/13/2014 16:00:00,20.45
3/14/2014 16:00:00,20.33
3/17/2014 16:00:00,20.05
3/18/2014 16:00:00,20.57
3/19/2014 16:00:00,20.56
3/20/2014 16:00:00,20.5
3/21/2014 16:00:00,20.65
3/24/2014 16:00:00,20.32
3/25/2014 16:00:00,20.06
3/26/2014 16:00:00,19.78
3/27/2014 16:00:00,19.64
3/28/2014 16:00:00,19.67
3/31/2014 16:00:00,20.08
4/1/2014 16:00:00,20.45
4/2/2014 16:00:00,20.8
4/3/2014 16:00:00,20.78
4/4/2014 16:00:00,21.1
4/7/2014 16:00:00,19.62
4/8/2014 16:00:00,19.8
4/9/2014 16:00:00,20.12
4/10/2014 16:00:00,19.65
4/11/2014 16:00:00,18.97
4/14/2014 16:00:00,18.55
4/15/2014 16:00:00,18.57
4/16/2014 16:00:00,18.99
4/17/2014 16:00:00,18.52
4/21/2014 16:00:00,18.73
4/22/2014 16:00:00,18.9
4/23/2014 16:00:00,18.73
4/24/2014 16:00:00,19.09
4/25/2014 16:00:00,18.81
4/28/2014 16:00:00,18.72
4/29/2014 16:00:00,18.74
4/30/2014 16:00:00,18.96
5/1/2014 16:00:00,19.8
