Date,Close
1/2/2014 16:00:00,51.99
1/3/2014 16:00:00,52.43
1/6/2014 16:00:00,52.84
1/7/2014 16:00:00,52.93
1/8/2014 16:00:00,53.41
1/9/2014 16:00:00,53.44
1/10/2014 16:00:00,53.57
1/13/2014 16:00:00,53.22
1/14/2014 16:00:00,53.49
1/15/2014 16:00:00,53.78
1/16/2014 16:00:00,53.89
1/17/2014 16:00:00,53.84
1/21/2014 16:00:00,54.42
1/22/2014 16:00:00,53.98
1/23/2014 16:00:00,53.77
1/24/2014 16:00:00,53.7
1/27/2014 16:00:00,53.36
1/28/2014 16:00:00,53.86
1/29/2014 16:00:00,53.95
1/30/2014 16:00:00,55.14
1/31/2014 16:00:00,55.38
2/3/2014 16:00:00,54.8
2/4/2014 16:00:00,55.38
2/5/2014 16:00:00,55.78
2/6/2014 16:00:00,56.48
2/7/2014 16:00:00,56.87
2/10/2014 16:00:00,57.6
2/11/2014 16:00:00,58.03
2/12/2014 16:00:00,58.21
2/13/2014 16:00:00,58.3
2/14/2014 16:00:00,58.58
2/18/2014 16:00:00,59
2/19/2014 16:00:00,58.49
2/20/2014 16:00:00,58.73
2/21/2014 16:00:00,58.71
2/24/2014 16:00:00,58.55
2/25/2014 16:00:00,58.79
2/26/2014 16:00:00,58.57
2/27/2014 16:00:00,58.36
2/28/2014 16:00:00,58.47
3/3/2014 16:00:00,58.52
3/4/2014 16:00:00,59.4
3/5/2014 16:00:00,58.75
3/6/2014 16:00:00,58.36
3/7/2014 16:00:00,58.25
3/10/2014 16:00:00,57.73
3/11/2014 16:00:00,58.07
3/12/2014 16:00:00,58.63
3/13/2014 16:00:00,57.9
3/14/2014 16:00:00,58.07
3/17/2014 16:00:00,58.37
3/18/2014 16:00:00,58.41
3/19/2014 16:00:00,57.28
3/20/2014 16:00:00,57.22
3/21/2014 16:00:00,57.19
3/24/2014 16:00:00,56.89
3/25/2014 16:00:00,57.83
3/26/2014 16:00:00,57.13
3/27/2014 16:00:00,57.19
3/28/2014 16:00:00,57.39
3/31/2014 16:00:00,57.99
4/1/2014 16:00:00,58.56
4/2/2014 16:00:00,59.22
4/3/2014 16:00:00,58.64
4/4/2014 16:00:00,59.16
4/7/2014 16:00:00,59.71
4/8/2014 16:00:00,60.05
4/9/2014 16:00:00,60.03
4/10/2014 16:00:00,59.17
4/11/2014 16:00:00,57.73
4/14/2014 16:00:00,58.08
4/15/2014 16:00:00,58.01
4/16/2014 16:00:00,58.43
4/17/2014 16:00:00,57.5
4/21/2014 16:00:00,58.24
4/22/2014 16:00:00,58.13
4/23/2014 16:00:00,57.85
4/24/2014 16:00:00,58.54
4/25/2014 16:00:00,58.66
4/28/2014 16:00:00,59.5
4/29/2014 16:00:00,59.32
4/30/2014 16:00:00,59.44
5/1/2014 16:00:00,59.59
5/2/2014 16:00:00,60.21
5/5/2014 16:00:00,60.79
5/6/2014 16:00:00,60.92
5/7/2014 16:00:00,61.54
5/8/2014 16:00:00,61.72
5/9/2014 16:00:00,61.79
5/12/2014 16:00:00,62.3
5/13/2014 16:00:00,61.71
5/14/2014 16:00:00,61.6
5/15/2014 16:00:00,61.47
5/16/2014 16:00:00,61.85
5/19/2014 16:00:00,61.63
5/20/2014 16:00:00,61.41
5/21/2014 16:00:00,61.04
5/22/2014 16:00:00,60.64
5/23/2014 16:00:00,60.98
5/27/2014 16:00:00,61.42
5/28/2014 16:00:00,61.19
5/29/2014 16:00:00,61.58
5/30/2014 16:00:00,61.8
6/2/2014 16:00:00,62.11
6/3/2014 16:00:00,62.2
6/4/2014 16:00:00,62.13
6/5/2014 16:00:00,63.18
6/6/2014 16:00:00,62.65
6/9/2014 16:00:00,61.72
6/10/2014 16:00:00,61.08
6/11/2014 16:00:00,61.27
6/12/2014 16:00:00,61.25
6/13/2014 16:00:00,61.76
6/16/2014 16:00:00,61.31
6/17/2014 16:00:00,61.32
6/18/2014 16:00:00,61.81
6/19/2014 16:00:00,61.94
6/20/2014 16:00:00,62.08
6/23/2014 16:00:00,61.96
6/24/2014 16:00:00,62.29
6/25/2014 16:00:00,63.01
6/26/2014 16:00:00,62.96
6/27/2014 16:00:00,63.53
6/30/2014 16:00:00,63
7/1/2014 16:00:00,63.31
7/2/2014 16:00:00,63.45
7/3/2014 16:00:00,63.19
7/7/2014 16:00:00,63.19
7/8/2014 16:00:00,63.51
7/9/2014 16:00:00,63.59
7/10/2014 16:00:00,63.8
7/11/2014 16:00:00,64.19
7/14/2014 16:00:00,64.27
7/15/2014 16:00:00,64.63
7/16/2014 16:00:00,64.88
7/17/2014 16:00:00,64.5
7/18/2014 16:00:00,64.8
7/21/2014 16:00:00,64.7
7/22/2014 16:00:00,65.19
7/23/2014 16:00:00,65.32
7/24/2014 16:00:00,65.84
7/25/2014 16:00:00,64.84
7/28/2014 16:00:00,65.65
7/29/2014 16:00:00,65.4
7/30/2014 16:00:00,66.39
7/31/2014 16:00:00,64.65
8/1/2014 16:00:00,64.13
8/4/2014 16:00:00,65.11
8/5/2014 16:00:00,64.36
8/6/2014 16:00:00,64.51
8/7/2014 16:00:00,64.54
8/8/2014 16:00:00,65.02
8/11/2014 16:00:00,65.16
